Date,App_Name,Category,Minutes_Used
2026-07-27,Duolingo,Education,11
2026-07-27,Khan Academy,Education,10
2026-07-28,VS Code,Coding,59
2026-07-28,YouTube,Entertainment,50
2026-07-28,TikTok,Social Media,42
2026-07-28,Instagram,Social Media,42
2026-07-28,Netflix,Entertainment,28
2026-07-28,X (Twitter),Social Media,25
2026-07-28,Spotify,Entertainment,20
2026-07-28,Terminal,Coding,20
2026-07-28,Kindle,Education,17
2026-07-28,Slack,Productivity,17
2026-07-28,GitHub,Coding,16
2026-07-28,Duolingo,Education,14
2026-07-28,Gmail,Productivity,7
2026-07-29,VS Code,Coding,63
2026-07-29,YouTube,Entertainment,44
2026-07-29,Instagram,Social Media,41
2026-07-29,Netflix,Entertainment,24
2026-07-29,X (Twitter),Social Media,22
2026-07-29,Slack,Productivity,19
2026-07-29,Spotify,Entertainment,16
2026-07-29,Terminal,Coding,16
2026-07-29,Kindle,Education,15
2026-07-29,Gmail,Productivity,13
2026-07-29,GitHub,Coding,10
2026-07-29,Duolingo,Education,10
2026-07-29,Khan Academy,Education,9
2026-07-30,YouTube,Entertainment,88
2026-07-30,TikTok,Social Media,62
2026-07-30,VS Code,Coding,48
2026-07-30,Instagram,Social Media,39
2026-07-30,Netflix,Entertainment,37
2026-07-30,Terminal,Coding,32
2026-07-30,Spotify,Entertainment,29
2026-07-30,X (Twitter),Social Media,23
2026-07-30,Khan Academy,Education,15
2026-07-30,Gmail,Productivity,8
2026-07-30,Duolingo,Education,5
2026-07-31,VS Code,Coding,68
2026-07-31,TikTok,Social Media,56
2026-07-31,YouTube,Entertainment,47
2026-07-31,Instagram,Social Media,29
2026-07-31,Spotify,Entertainment,24
2026-07-31,Slack,Productivity,19
2026-07-31,GitHub,Coding,18
2026-07-31,Terminal,Coding,18
2026-07-31,Khan Academy,Education,15
2026-07-31,Gmail,Productivity,15
2026-07-31,X (Twitter),Social Media,10
2026-07-31,Kindle,Education,10
2026-07-31,Duolingo,Education,8
2026-08-01,VS Code,Coding,34
2026-08-01,X (Twitter),Social Media,31
2026-08-01,Spotify,Entertainment,26
2026-08-01,Khan Academy,Education,13
2026-08-01,Terminal,Coding,11
2026-08-01,Netflix,Entertainment,8
2026-08-01,Duolingo,Education,6
2026-08-01,Slack,Productivity,5
2026-08-01,Gmail,Productivity,4
2026-08-02,TikTok,Social Media,108
2026-08-02,YouTube,Entertainment,72
2026-08-02,Instagram,Social Media,34
2026-08-02,Spotify,Entertainment,30
2026-08-02,X (Twitter),Social Media,27
2026-08-02,Kindle,Education,12
2026-08-02,Duolingo,Education,11
2026-08-02,Terminal,Coding,10
2026-08-02,Khan Academy,Education,10
2026-08-02,GitHub,Coding,7
2026-08-02,Slack,Productivity,6
2026-08-02,Gmail,Productivity,4
2026-08-03,VS Code,Coding,65
2026-08-03,TikTok,Social Media,63
2026-08-03,YouTube,Entertainment,54
2026-08-03,Netflix,Entertainment,40
2026-08-03,Instagram,Social Media,33
2026-08-03,Spotify,Entertainment,25
2026-08-03,Kindle,Education,19
2026-08-03,Terminal,Coding,16
2026-08-03,GitHub,Coding,15
2026-08-03,Duolingo,Education,15
2026-08-03,Khan Academy,Education,14
2026-08-03,Slack,Productivity,12
